Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
54	-45.0	15.0	0.0	-50.0	50.0	-20.03302	11.604145	8.803565	-41.47134	220000	5.00679e-09	19.47746	-0.029118001	-9.647045	0.99730116	0.009359847	0.14675	79.0	567.5568070411682
55	-48.125	9.499178	0.0	-50.0	50.0	-19.910015	11.147155	2.2757468	-40.82814	224000	7.629395e-09	18.929152	-0.029378528	-11.7689705	0.95816016	0.010441424	0.151	79.0	577.5053837299347
56	-46.25	13.169567	0.0	-50.0	50.0	-20.470577	11.588457	8.9675665	-40.96127	228000	3.8146974e-09	20.24109	-0.02926551	-8.665222	0.96617496	0.014626075	0.1805	64.0	587.6540334224701
57	-46.875	12.103073	0.0	-50.0	50.0	-20.488781	11.304095	4.43447	-40.863937	232000	1.0967255e-08	12.978791	-0.03106308	-6.1681185	0.8804	0.01171191	0.1775	79.0	597.6353688240051
58	-48.125	9.499178	0.0	-50.0	50.0	-20.587328	11.360732	3.982057	-41.49391	236000	2.3841857e-09	13.955408	-0.007286062	-5.818966	0.85746485	0.009564234	0.09775	4.0	607.6052689552307
59	-45.625	14.128318	0.0	-50.0	50.0	-20.759926	11.275752	1.4754742	-40.727287	240000	-9.536743e-09	30.185314	-0.029106995	-18.55809	0.8466331	0.013885445	0.1465	79.0	617.6259505748749
60	-45.625	14.128318	0.0	-50.0	50.0	-19.76439	11.239723	3.1134658	-40.654503	244000	-1.8119811e-08	21.889528	-0.032094575	-8.876293	0.8583228	0.0147161735	0.167	79.0	627.7486491203308
61	-47.5	10.897247	0.0	-50.0	50.0	-20.263988	11.495774	4.6895914	-40.484386	248000	6.6757204e-09	10.647701	-0.03405321	-3.4942012	0.78589624	0.008849492	0.1715	79.0	637.5749862194061
62	-46.875	12.103073	0.0	-50.0	50.0	-20.34343	11.479346	9.913778	-40.56368	252000	4.7683715e-09	14.053568	-0.03437728	-8.519227	0.7878889	0.011337944	0.19425	79.0	647.4778552055359
63	-46.875	12.103073	0.0	-50.0	50.0	-20.833567	11.193673	3.4793801	-40.474506	256000	4.005432e-08	21.262346	-0.029318292	-14.018803	0.7548528	0.014604261	0.172	79.0	657.3102107048035
64	-43.125	17.218721	0.0	-50.0	50.0	-19.566542	11.65699	9.342868	-40.0618	260000	-2.1457673e-08	23.833824	-0.02961421	-16.630594	0.73489916	0.015114055	0.147	57.0	667.104279756546
65	-48.125	9.499178	0.0	-50.0	50.0	-20.00145	11.672972	10.523533	-40.462997	264000	5.722046e-09	16.305765	-0.03385248	-12.933448	0.6772465	0.011331119	0.16475	79.0	677.106899023056
66	-46.25	13.169567	0.0	-50.0	50.0	-20.962723	11.58713	7.1431837	-41.226597	268000	1.502037e-08	27.15352	-0.007193278	-18.090721	0.6790716	0.009875183	0.101	4.0	686.6144251823425
67	-46.875	12.103073	0.0	-50.0	50.0	-19.990648	12.166514	10.814544	-40.464813	272000	1.7166137e-08	7.9254317	-0.03369078	-4.2400303	0.6683344	0.010533296	0.1925	79.0	696.6179072856903
68	-47.5	10.897247	0.0	-50.0	50.0	-19.963797	11.931223	14.052166	-40.29144	276000	-9.536743e-09	9.428035	-0.033005677	-6.026458	0.6567896	0.012833792	0.16625	79.0	706.2036638259888
69	-44.375	15.799031	0.0	-50.0	50.0	-20.338905	11.549244	8.265446	-40.309868	280000	-2.4080277e-08	26.23821	-0.019799627	-18.157722	0.6018268	0.016646499	0.1615	22.0	716.1877911090851
70	-45.625	14.128318	0.0	-50.0	50.0	-18.989395	11.785632	8.243677	-40.21459	284000	-1.9013882e-08	32.071247	-0.034038298	-20.53009	0.5884813	0.008078695	0.1945	79.0	726.5960192680359
71	-45.625	14.128318	0.0	-50.0	50.0	-19.943691	11.881798	4.6615534	-40.60526	288000	7.629395e-09	11.937458	-0.031825826	-5.708019	0.5680291	0.014976556	0.1825	75.0	736.7478818893433
72	-45.0	15.0	0.0	-50.0	50.0	-19.967695	11.867988	5.033491	-40.635963	292000	8.106232e-09	8.675523	-0.03211537	-5.499477	0.47828346	0.014190942	0.18475	79.0	746.7333126068115
73	-46.875	12.103073	0.0	-50.0	50.0	-20.246557	11.365605	3.5704582	-40.462124	296000	4.673004e-08	14.212242	-0.035776224	-10.339894	0.44904205	0.014365501	0.21475	79.0	756.6107177734375
74	-45.0	15.0	0.0	-50.0	50.0	-19.971748	11.723862	5.7470183	-40.154152	300000	1.2874604e-08	10.328608	-0.021211097	-5.7425528	0.44417185	0.015259409	0.1305	24.0	766.1885440349579
75	-46.25	13.169567	0.0	-50.0	50.0	-19.89379	11.744145	3.7964094	-40.21883	304000	-1.1920929e-08	14.6450815	-0.036380768	-10.981874	0.37941957	0.0120571675	0.207	79.0	776.172837972641
76	-46.25	13.169567	0.0	-50.0	50.0	-20.232521	11.852307	9.916539	-40.517868	308000	1.3351441e-08	10.237823	-0.011628053	-6.897478	0.36557007	0.0141002415	0.159	10.0	785.9140181541443
